"id","n_census","season","year","season.nb","year.nb","habitat","habitat.code","age.at.capture","nb_af_pride","nb_nm_coal_hr","survival","reproduction","cubs"
"ID1013",3,"wet",1986,1,2,"grassland",1,3.16666666666667,2,2,1,1,NA
"ID1034",3,"wet",1986,1,2,"grassland",1,12.25,2,2,1,0,NA
"ID1036",3,"wet",1986,1,2,"open woodland",2,5.66666666666667,2,2,1,0,NA
"ID1056",3,"wet",1986,1,2,"grassland",1,7.5,5,2,1,1,NA
"ID1048",3,"wet",1986,1,2,"grassland",1,2.5,5,2,1,0,NA
"ID1050",3,"wet",1986,1,2,"grassland",1,2.08333333333333,5,2,1,0,NA
"ID1055",3,"wet",1986,1,2,"grassland",1,7.33333333333333,5,2,1,0,NA
"ID1054",3,"wet",1986,1,2,"grassland",1,7.41666666666667,5,2,1,0,NA
"ID1037",3,"wet",1986,1,2,"open woodland",2,10.3333333333333,2,2,1,NA,NA
"ID1038",3,"wet",1986,1,2,"open woodland",2,10.3333333333333,2,2,1,NA,NA
"ID1110",3,"wet",1986,1,2,"grassland",1,9.16666666666667,1,2,1,1,NA
"ID73",4,"dry",1986,2,2,"grassland",1,4.66666666666667,3,1,1,0,NA
"ID71",4,"dry",1986,2,2,"grassland",1,9.83333333333333,3,1,1,0,NA
"ID72",4,"dry",1986,2,2,"grassland",1,9.83333333333333,3,1,1,NA,0
"ID178",4,"dry",1986,2,2,"open woodland",2,5.83333333333333,3,1,1,0,NA
"ID97",4,"dry",1986,2,2,"grassland",1,5.25,3,1,1,1,0
"ID182",4,"dry",1986,2,2,"grassland",1,4.75,3,1,1,NA,1
"ID107",4,"dry",1986,2,2,"open woodland",2,2.83333333333333,3,1,1,0,NA
"ID124",4,"dry",1986,2,2,"open woodland",2,2.5,3,1,1,0,NA
"ID127",4,"dry",1986,2,2,"open woodland",2,2.41666666666667,3,1,0,NA,NA
"ID180",4,"dry",1986,2,2,"open woodland",2,5.75,7,1,1,NA,NA
"ID176",4,"dry",1986,2,2,"open woodland",2,6.41666666666667,7,1,1,NA,NA
"ID177",4,"dry",1986,2,2,"open woodland",2,5.83333333333333,7,1,1,NA,NA
"ID92",4,"dry",1986,2,2,"open woodland",2,12.8333333333333,7,1,1,NA,2
"ID175",4,"dry",1986,2,2,"grassland",1,8.66666666666667,7,1,1,0,NA
"ID181",4,"dry",1986,2,2,"open woodland",2,5.58333333333333,7,1,1,NA,2
"ID90",4,"dry",1986,2,2,"open woodland",2,12.8333333333333,7,1,1,0,NA
"ID264",4,"dry",1986,2,2,"grassland",1,10.25,4,1,1,NA,0
"ID263",4,"dry",1986,2,2,"grassland",1,14.3333333333333,4,1,0,NA,NA
"ID265",4,"dry",1986,2,2,"grassland",1,10.25,4,1,1,NA,1
"ID266",4,"dry",1986,2,2,"grassland",1,10.0833333333333,4,1,1,0,NA
"ID256",4,"dry",1986,2,2,"grassland",1,2.58333333333333,2,1,1,0,NA
"ID257",4,"dry",1986,2,2,"grassland",1,2.58333333333333,2,1,1,0,NA
"ID255",4,"dry",1986,2,2,"grassland",1,3.25,2,1,1,NA,0
"ID268",4,"dry",1986,2,2,"grassland",1,12.3333333333333,2,1,0,NA,NA
"ID479",4,"dry",1986,2,2,"open woodland",2,4.33333333333333,3,1,1,0,NA
"ID441",4,"dry",1986,2,2,"open woodland",2,2.08333333333333,3,1,1,0,NA
"ID474",4,"dry",1986,2,2,"open woodland",2,4.08333333333333,3,1,1,0,NA
"ID372",4,"dry",1986,2,2,"grassland",1,9.75,4,1,1,NA,0
"ID381",4,"dry",1986,2,2,"grassland",1,9.33333333333333,4,1,1,NA,0
"ID399",4,"dry",1986,2,2,"open woodland",2,9.08333333333333,4,1,1,0,NA
"ID371",4,"dry",1986,2,2,"grassland",1,9.75,4,1,0,NA,NA
"ID431",4,"dry",1986,2,2,"open woodland",2,3.5,10,1,1,0,NA
"ID432",4,"dry",1986,2,2,"open woodland",2,3.33333333333333,10,1,1,0,NA
"ID475",4,"dry",1986,2,2,"open woodland",2,7.08333333333333,10,1,1,0,NA
"ID477",4,"dry",1986,2,2,"open woodland",2,6.91666666666667,10,1,1,0,NA
"ID436",4,"dry",1986,2,2,"open woodland",2,2.91666666666667,10,1,1,0,NA
"ID478",4,"dry",1986,2,2,"open woodland",2,6.91666666666667,10,1,1,0,NA
"ID434",4,"dry",1986,2,2,"open woodland",2,3.33333333333333,10,1,1,0,NA
"ID476",4,"dry",1986,2,2,"open woodland",2,7.08333333333333,10,1,1,0,NA
"ID482",4,"dry",1986,2,2,"open woodland",2,13,10,1,1,NA,2
"ID429",4,"dry",1986,2,2,"open woodland",2,3.5,10,1,1,0,NA
"ID649",4,"dry",1986,2,2,"grassland",1,5.16666666666667,3,1,1,NA,NA
"ID675",4,"dry",1986,2,2,"grassland",1,6.25,3,1,1,NA,NA
"ID650",4,"dry",1986,2,2,"grassland",1,5.41666666666667,3,1,1,0,NA
"ID502",4,"dry",1986,2,2,"open woodland",2,13.4166666666667,10,1,1,0,NA
"ID580",4,"dry",1986,2,2,"grassland",1,12.9166666666667,10,1,1,0,NA
"ID657",4,"dry",1986,2,2,"open woodland",2,2.91666666666667,10,1,1,0,NA
"ID658",4,"dry",1986,2,2,"open woodland",2,2.91666666666667,10,1,1,0,NA
"ID659",4,"dry",1986,2,2,"open woodland",2,2.91666666666667,10,1,1,0,NA
"ID664",4,"dry",1986,2,2,"open woodland",2,2.5,10,1,1,0,NA
"ID648",4,"dry",1986,2,2,"open woodland",2,12.9166666666667,10,1,1,0,NA
"ID496",4,"dry",1986,2,2,"grassland",1,13.0833333333333,10,1,1,0,NA
"ID499",4,"dry",1986,2,2,"grassland",1,10.4166666666667,2,1,1,0,NA
"ID505",4,"dry",1986,2,2,"open woodland",2,13.0833333333333,10,1,1,0,NA
"ID507",4,"dry",1986,2,2,"grassland",1,13.4166666666667,10,1,1,NA,0
"ID503",4,"dry",1986,2,2,"open woodland",2,9.83333333333333,2,1,1,0,NA
"ID695",4,"dry",1986,2,2,"grassland",1,3.41666666666667,1,1,1,0,NA
"ID702",4,"dry",1986,2,2,"open woodland",2,5,2,1,1,NA,NA
"ID735",4,"dry",1986,2,2,"open woodland",2,16.4166666666667,2,1,1,0,NA
"ID869",4,"dry",1986,2,2,"grassland",1,4.16666666666667,7,1,1,0,NA
"ID794",4,"dry",1986,2,2,"grassland",1,12.4166666666667,7,1,1,0,NA
"ID795",4,"dry",1986,2,2,"grassland",1,12.4166666666667,7,1,1,0,NA
